id,domain,website,name,tier,status,founded_date,description,has_details,sf_account_owner,sf_last_activity_date,salesforce_link,details.last_funding_amount,details.last_funding_type,details.total_money_in_usd,details.last_funding_date,details.investors,has_cb_data,cb_data.url,cb_data.categories,has_employee_data,employee_data.num_employees,employee_data.delta_num_employees_percent,employee_data.last_updated,employee_data.positive,visited,last_visited
21379,thinprint.com,http://www.thinprint.com/,ThinPrint,Pass,Pass,Jun 01 1999,"ThinPrint specializes in printing solutions in various network environments across all business sectors worldwide. Based in Berlin, we began by providing a print solution for the growing server-based market and have expanded to become the leading print solution in over 80 countries with the various .print products. Today, we also offer the leading print solution for the emerging Virtual Desktop Environment movement.",TRUE,Inactive User,2007-10-09,https://na6.salesforce.com/0013000000GcsxQAAR,Undisclosed,Unknown,Undisclosed,Unknown,,FALSE,,,TRUE,101,1,2016-10-01,TRUE,FALSE,
26795,veritas.com,http://www.veritas.com/,Veritas Technologies,No Tier,New,May 31 1990,"Veritas enables organizations to harness the power of their information, with solutions designed to serve the world’s largest and most complex heterogeneous environments.",TRUE,Kwan Hong Lee,No activity,https://na6.salesforce.com/0013000000Gkww3AAB,Undisclosed,Unknown,Undisclosed,Unknown,,TRUE,https://www.crunchbase.com/organization/veritas-technologies,Enterprise,TRUE,7000,1.951645791,2016-10-01,TRUE,FALSE,
96293,printerlogic.com,https://www.printerlogic.com/,PrinterLogic,Tier 1,New,May 31 2001,"Eliminate print servers! PrinterLogic's Enterprise Print Management software allows you to simplify printer driver management and empower end users to install their own printers, reducing help desk service calls and decreasing your print management costs.",TRUE,Brandon Greer,No activity,https://na6.salesforce.com/0013000000J33SAAAZ,Undisclosed,Unknown,Undisclosed,Unknown,,TRUE,https://www.crunchbase.com/organization/printerlogic,Printing,TRUE,90,4400,2016-10-01,TRUE,FALSE,
65759,igel.com,http://www.igel.com/,IGEL Technology,No Tier,New,Jun 01 2001,"Established in Augsburg, Germany, and with headquarters now in Bremen, IGEL is part of the privately owned over 205 year old Melchers Group in Germany who has proved repeatedly that quality, long-term vision and customer satisfaction are the best way to build a lasting business. The IGEL customer base boasts many of the largest and most respected companies in the world including Daimler, Akzo Nobel, United Rentals and Scania to name but a few.",TRUE,Inactive User,2011-04-26,https://na6.salesforce.com/0013000000HpwgBAAR,Undisclosed,Unknown,Undisclosed,Unknown,,TRUE,https://www.crunchbase.com/organization/igel-technology,,TRUE,72,24.14,2016-10-01,TRUE,FALSE,
73644,aicipc.com,http://www.aicipc.com/,AIC,No Tier,No Status,May 31 1990,"As the leading server and storage manufacturer, AIC focuses on providing OEM, ODM and COTS hardware solutions and services for all business needs.",TRUE,Kwan Hong Lee,No activity,https://na6.salesforce.com/0013000000IC1VNAA1,Undisclosed,Unknown,Undisclosed,Unknown,"Ltd.,T-win Sheet Metal Co.",TRUE,https://www.crunchbase.com/organization/aic-inc,"Cloud Storage, Data Storage",TRUE,630,63.63636364,2016-10-01,TRUE,FALSE,
58723,attotech.com,http://www.attotech.com/,ATTO Technology,No Tier,No Status,May 31 1988,"ATTO is a global leader of storage connectivity and infrastructure solutions that help store, manage and deliver data.",TRUE,Kwan Hong Lee,No activity,https://na6.salesforce.com/0013000000HVEe4AAH,Undisclosed,Unknown,Undisclosed,Unknown,,TRUE,https://www.crunchbase.com/organization/atto,Hardware,TRUE,116,8.41,2016-10-01,TRUE,FALSE,
9274,lrs.com,http://lrs.com/,Levi,No Tier,No Status,Jun 01 1979,Information technology solutions,TRUE,Kwan Hong Lee,No activity,https://na6.salesforce.com/0013000000G8kI0AAJ,Undisclosed,Unknown,Undisclosed,Unknown,,TRUE,https://www.crunchbase.com/organization/levi-ray-shoup,,TRUE,630,5.527638191,2016-10-01,TRUE,FALSE,
165015,stormagic.com,http://www.stormagic.com/,StorMagic,Tier 0,Tracking,May 31 2006,"Established in 2006, StorMagic is a software-defined storage company enabling hyper-converged infrastructure for enterprises and SMEs managing one to many lean IT environments. StorMagic offers SvSAN, the most cost-effective virtual SAN for multi-site locations.",TRUE,Mackey Craven,2013-11-26,https://na6.salesforce.com/0018000000M6bdvAAB,Undisclosed,Unknown,Undisclosed,Unknown,,TRUE,https://www.crunchbase.com/organization/stormagic,"Virtualization, Software",TRUE,43,10.25641026,2016-10-01,TRUE,FALSE,
10034047,morpheusdata.com,https://www.morpheusdata.com/,Morpheus,Tier 0,Tracking,Jun 01 2013,Morpheus is the only Cloud Application Management and Orchestration Platform that's truly infrastructure agnostic. Request a Demo!,TRUE,Jessica Dembeck,2016-07-28,https://na6.salesforce.com/0018000001QROQrAAP,Undisclosed,Unknown,Undisclosed,Unknown,,TRUE,https://www.crunchbase.com/organization/morpheus,"Cloud Management, Cloud Computing",TRUE,10,42.85714286,2016-10-01,TRUE,FALSE,
10004136,stacksware.com,https://stacksware.com/,StacksWare,Tier 0,Tracking,May 26 2015,"Real-time software inventory & metering for workstations, servers, and VDI",TRUE,Michael Morgenstern,2016-09-19,https://na6.salesforce.com/0018000001NVysQAAT,$2.00M,Seed,$2.00M,2015-06-01,Greylock Partners; Lightspeed Venture Partners,TRUE,https://www.crunchbase.com/organization/stacksware,"IT Management, App Discovery, Software",TRUE,6,20,2016-10-01,TRUE,FALSE,
240736,opennebula.org,http://www.opennebula.org/,OpenNebula,Tier 0,Engaged,May 31 2005,"Open Cloud Management Platform, Developed for the Enterprise",TRUE,Inactive User,2011-08-17,https://na6.salesforce.com/0018000000M6afkAAB,Undisclosed,Unknown,Undisclosed,Unknown,,TRUE,https://www.crunchbase.com/organization/opennebula,"Cloud Management, Information Technology",TRUE,7,0,2016-10-01,FALSE,FALSE,
81981,catbird.com,http://catbird.com/,Catbird,Tier 0,Engaged,May 31 2000,Catbird® is a pioneer and leader in Software-defined Segmentation and Security for the Hybrid IT Infrastructure,TRUE,Michael Morgenstern,2015-04-27,https://na6.salesforce.com/0013000000IJ9KCAA1,$10.00M,Venture,$12.00M,2013-07-25,Medina Capital,TRUE,https://www.crunchbase.com/organization/catbird,"Cyber Security, Network Security, Virtualization",TRUE,56,-1.754385965,2016-10-01,FALSE,FALSE,
10415,storagecraft.com,http://storagecraft.com/,StorageCraft,No Tier,New,Jun 01 2003,"StorageCraft Technology Corporation is a premier backup and disaster recovery software company. StorageCraft focuses on providing best-in-class backup, disaster recovery, system migration and data protection solutions for virtual and physical environments. StorageCraft delivers software products that reduce downtime, improve security and stability for systems and data and lower the total cost of ownership for servers, desktops and laptops.",TRUE,Brian Carthas,2011-06-13,https://na6.salesforce.com/0013000000GbYSxAAN,$187.00M,Private Equity,$187.00M,2016-01-12,TA Associates,TRUE,https://www.crunchbase.com/organization/storagecraft-technology-corporation,"IT Management, Computer, Software",TRUE,210,0.961538462,2016-10-01,TRUE,FALSE,
10000669,velostrata.com,http://velostrata.com/,Velostrata,Tier 0,Tracking,May 31 2014,"Velostrata is the cloud workload mobility company. With Velostrata software, enterprises can move even production workloads to the public cloud in minutes, while controlling and automating where data resides. With Velostrata, moving to the cloud becomes simple, fast, cost-effective, and low risk. Velostrata uniquely decouples compute (VMs) from storage (VMDKs), and provides a way to run workloads in the public cloud, without requiring any changes to workflow or sacrificing performance, all at the click of a button. Velostrata is backed by Norwest Venture Partners and 83 North (formerly Greylock Partners IL), and is headquartered in San Mateo, California, with research and development in Israel.",TRUE,Michael Morgenstern,2016-08-03,https://na6.salesforce.com/0018000001MGb8ZAAT,$17.50M,Series B,$31.50M,2016-08-02,"Series B:$17.5M, 83North; Norwest Venture Partners - NVP; Intel Capital;Series A:$0.0M, 83North;Series A:$14.0M, Norwest Venture Partners - NVP;  83North;Series A:$0.0M, 83North;",TRUE,https://www.crunchbase.com/organization/velostrata,"Cloud Computing, Virtualization, Data Storage",TRUE,35,25,2016-10-01,TRUE,FALSE,
9435,lakesidesoftware.com,http://www.lakesidesoftware.com/,LakeSide Software,Tier 0,Pass,Jun 01 1997,"Headquartered in Bloomfield Hills, Michigan, Lakeside Software has been a leader in management solutions for the Windows marketplace since 1997. Lakeside Software s SysTrack is the easiest to use, most complete way to monitor and tune application performance. SysTrack combines comprehensive system monitoring capabilities with sophisticated statistical analysis for applications and users to create a total management solution.",TRUE,Michael Morgenstern,2014-10-06,https://na6.salesforce.com/0013000000G8sOYAAZ,Undisclosed,Unknown,Undisclosed,Unknown,,TRUE,https://www.crunchbase.com/organization/lakeside-software,"Big Data, Software",TRUE,101,13.48314607,2016-10-01,TRUE,FALSE,
10057008,serverless.com,http://serverless.com/,Serverless,Tier 1,Promoted,Jun 01,"Build web, mobile and IoT applications powered exclusively by AWS Lambda and API Gateway",TRUE,Michael Morgenstern,2016-09-14,https://na6.salesforce.com/0018000001RGoeSAAT,$250.00M,Series B,$350.00M,2015-07-29,"Sequoia Capital; ; Andreessen Horowitz; Thrive Capital; SV Angel; Andreessen Horowitz; Series A:$100.0M, SV Angel; SV Angel; Andreessen Horowitz; Thrive Capital; Sequoia Capital; IVP (Institutional Venture Partners); Series B:$250.0M, Andreessen Horowitz; IVP (Institutional Venture Partners)",TRUE,https://www.crunchbase.com/organization/github,"Software, Developer Tools, Project Management, Internet",TRUE,622,6.506849315,2016-10-01,TRUE,FALSE,
194284,puppet.com,https://puppet.com/,Puppet,Tier 0,Engaged,Jun 01 2005,"Puppet Enterprise - IT automation for cloud, security, and DevOps",TRUE,Inactive User,2014-06-19,https://na6.salesforce.com/0018000000NUnlfAAD,$22.00M,Debt Financing,$107.50M,2016-06-20,GV; Radar Partners; Cisco; Kleiner Perkins Caufield & Byers; True Ventures; GV; Cisco; Radar Partners; VMware; Kleiner Perkins Caufield & Byers; True Ventures; Radar Partners; Glenn Winokur; Glenn Winokur; Silicon Valley Bank; Triangle Peak Partners; True Ventures; Cisco; Kleiner Perkins Caufield & Byers; True Ventures; VMware; Triangle Peak Partners; Radar Partners; True Ventures; Kleiner Perkins Caufield & Byers; VMware,TRUE,https://www.crunchbase.com/organization/puppet-labs,"Services, Automotive, Infrastructure, Information Technology, Software",TRUE,2,0,2016-10-01,FALSE,FALSE,
